Time@Axial Accel (Gs),Axial Accel (Gs),bILBA,Time@Lateral Accel (Gs),Lateral Accel (Gs),bILBA
1.16375,18.54,b1100,2.3275,1.4,b1100
1.16625,18.47,b1100,2.3325,1.22,b1100
1.16875,18.4,b1100,2.3375,1.57,b1100
1.17125,18.4,b1100,2.3425,1.57,b1100
1.17375,18.47,b1100,2.3475,1.75,b1100
1.17625,18.4,b1100,2.3525,1.05,b1100
1.17875,18.4,b1100,2.3575,1.83,b1100
1.18125,18.33,b1100,2.3625,1.05,b1100
1.18375,18.4,b1100,2.3675,1.13,b1100
1.18625,18.47,b1100,2.3725,1.4,b1100
1.18875,18.54,b1100,2.3775,0.7,b1100
1.19125,18.61,b1100,2.3825,0.78,b1100
1.19375,18.47,b1100,2.3875,0.7,b1100
1.19625,18.33,b1100,2.3925,1.22,b1100
1.19875,18.33,b1100,2.3975,0.35,b1100
1.20125,18.33,b1100,2.4025,1.4,b1100
1.20375,18.33,b1100,2.4075,0.7,b1100
1.20625,18.33,b1100,2.4125,1.48,b1100
1.20875,18.47,b1100,2.4175,1.66,b1100
1.21125,18.54,b1100,2.4225,1.92,b1100
1.21375,18.47,b1100,2.4275,1.83,b1100
1.21625,18.4,b1100,2.4325,1.4,b1100
1.21875,18.47,b1100,2.4375,1.92,b1100
1.22125,18.47,b1100,2.4425,1.92,b1100
1.22375,18.33,b1100,2.4475,1.92,b1100
1.22625,18.19,b1100,2.4525,1.66,b1100
1.22875,18.26,b1100,2.4575,1.48,b1100
1.23125,18.26,b1100,2.4625,0.35,b1100
1.23375,18.19,b1100,2.4675,1.4,b1100
1.23625,18.19,b1100,2.4725,0.96,b1100
1.23875,18.19,b1100,2.4775,1.75,b1100
1.24125,18.26,b1100,2.4825,0.52,b1100
1.24375,18.26,b1100,2.4875,0.87,b1100
1.24625,18.26,b1100,2.4925,0.87,b1100
1.24875,18.26,b1100,2.4975,1.13,b1100
1.25125,18.26,b1100,2.5025,1.48,b1100
